history_id,asset_code,module,changed_at,event_type,actor,old_hash,new_hash,note
HIS-DRN-006,DRN-006,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,570a65cf2acdccc67e9b1a6038e7ef7a94263824b676d978a0418dc1ba2ecc9f,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRN-007,DRN-007,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,4fb0735ac84fa3e73a0d23812a830120332d209be250e30c066a8a400295b068,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRN-008,DRN-008,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,5ee79049654f5d81e15a1546442dd1ccd89ac81da10e762a26ece8822afc933d,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRN-009,DRN-009,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,f875a57d02bbf18cbf2a4217885f14224f9702ac81ff9f36001a315c5eee60cb,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRN-010,DRN-010,drain,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,cb5734224b3fe9f2a33c98189e4f6307c5dea75ce88cf0b9e2f6378b53b39162,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-001,DRA-BMT-001,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,df168fa36160eda4ec4dc19cc34ef62f3deb6d051785cc66df7fe03167cafff1,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-002,DRA-BMT-002,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,b98431bebeb46cbb8d4770a32ccc3db6d1922cce6f9ba7381b5c15b2d36c95b5,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-003,DRA-BMT-003,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,60d128fa89eb3d52278755de9ae57aa86f0566e03bd4492b6fd5d788f42c83ed,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-004,DRA-BMT-004,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,cb60eb0d5f81ed1f28af08f00e399fba914b1f189c2d07fa1c3dd8fc9c378787,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-005,DRA-BMT-005,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,ce6f476602db2826ac9e4840f323cb54a978504e29c9c5fe10332bb56e63ef0f,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-006,DRA-BMT-006,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,30c181c2795fbfce5eeae6e4e669a714d791f73ef95a5cecf0b2726548966746,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-007,DRA-BMT-007,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,c8f4d220490092b97dbc55f3849084959b7bcde2673cca7f1e848dcd558a0430,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-008,DRA-BMT-008,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,14c163b3535134903af18bad908bbe16d13d125b8de23865de6a21047f806ccd,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-009,DRA-BMT-009,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,9a6968749541d43694fa3faef8ae8b9366a036a36c5ee4983eff8f335c612f28,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-DRA-BMT-010,DRA-BMT-010,road,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,5803a4a545343b14276860db64246ff8ca9525b7b0d2c29b0ec82f2d4c4daf18,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-WTR-001,WTR-001,water,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,ea5d58295fb2007cb8e235cfa1bc0a1679fcf098cf561d3b3941a80d37cf646e,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-WTR-002,WTR-002,water,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,27994fb5351016f79efea1d67536b35b36c0d99aca94b1bc1c257b18ea2d8839,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-WTR-003,WTR-003,water,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,e97b2609dc114b648f0cfbce5a006ca1c4334ebbdef5394571d583051be325e7,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-WTR-004,WTR-004,water,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,c5a124c70db0d9f23336e1ac8d3f54dec40af4bdc3de801dcaa7d9e0ab4a214f,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-WTR-005,WTR-005,water,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,58a1ad9414a6b340946dea72eab3fd8949f3cc491e5c6432738e60c7ca8c3a61,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-WTR-006,WTR-006,water,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,0decf0d1a09457a13de08c899da9de29714e3e652d4ff1c1c91faa8a0db15899,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-WTR-007,WTR-007,water,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,6584e0ceb77841b47a1b11ecc9a631d614441fedfd91d12b587920f8ad757145,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
HIS-WTR-008,WTR-008,water,2026-08-14T15:00:00+07:00,MIGRATED_TO_COMMON_REGISTRY,SYSTEM,,28721d1f5852470aeb51cab6489ff36159193d39c61305376ddc96111cb5531d,Chuẩn hóa từ phân hệ sang Asset Registry dùng chung của MVP v0.2.
