asset_code,module,planning_status,planning_document,planning_ref,land_status,note,updated_at
DRN-010,drain,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-001,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-002,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-003,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-004,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-005,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-006,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-007,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-008,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-009,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
DRA-BMT-010,road,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
WTR-001,water,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
WTR-002,water,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
WTR-003,water,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
WTR-004,water,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
WTR-005,water,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
WTR-006,water,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
WTR-007,water,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
WTR-008,water,CHUA_XAC_MINH_MVP,,,,Chưa nạp hồ sơ/quy hoạch chính thức; trường dữ liệu được tạo sẵn để liên kết khi thí điểm.,2026-08-14
