asset_code,module,module_name,domain,asset_name,asset_type,locality,latitude,longitude,management_unit,status,investment_need,source_id,source_status,updated_at,geometry_type,source_table,record_hash
DRN-003,drain,DakDrain AI,Thoát nước và xử lý nước thải,Trạm bơm mẫu 01,PUMP_STATION,Khu vực phía Đông,13.085,109.3,Đơn vị thoát nước B,ACTIVE,Bảo dưỡng thiết bị,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,e511f376d250df14585ad135faea92169fc7a9b219b49f15b72947f7443630ff
DRN-004,drain,DakDrain AI,Thoát nước và xử lý nước thải,Nhà máy XLNT mẫu 01,WWTP,Khu vực phía Đông,13.1,109.315,Đơn vị thoát nước B,ACTIVE,Nâng công suất,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,6048021bfd79d119587651bde33e0e4adf0918b09708ced42a04aa23606613f4
DRN-005,drain,DakDrain AI,Thoát nước và xử lý nước thải,Tuyến cống mẫu 02,SEWER,Khu vực phía Bắc,12.85,108.25,Đơn vị thoát nước C,REVIEW,Kiểm tra xuống cấp,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,c08d79f6c26b0a839ea76eaf72b7d127343c64a51ab0b8608d996d84bd99c586
DRN-006,drain,DakDrain AI,Thoát nước và xử lý nước thải,Điểm ngập mẫu 02,FLOOD_POINT,Khu vực phía Bắc,12.842,108.255,Đơn vị thoát nước C,REVIEW,Bổ sung hố thu,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,570a65cf2acdccc67e9b1a6038e7ef7a94263824b676d978a0418dc1ba2ecc9f
DRN-007,drain,DakDrain AI,Thoát nước và xử lý nước thải,Tuyến cống mẫu 03,SEWER,Khu vực phía Nam,12.47,108.2,Đơn vị thoát nước D,ACTIVE,Nạo vét,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,4fb0735ac84fa3e73a0d23812a830120332d209be250e30c066a8a400295b068
DRN-008,drain,DakDrain AI,Thoát nước và xử lý nước thải,Điểm xả mẫu 01,OUTFALL,Khu vực ven biển,13.015,109.335,Đơn vị thoát nước E,ACTIVE,Theo dõi chất lượng,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,5ee79049654f5d81e15a1546442dd1ccd89ac81da10e762a26ece8822afc933d
DRN-009,drain,DakDrain AI,Thoát nước và xử lý nước thải,Tuyến cống mẫu 04,SEWER,Khu vực phía Tây,12.75,107.87,Đơn vị thoát nước F,ACTIVE,Bổ sung dữ liệu GIS,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,f875a57d02bbf18cbf2a4217885f14224f9702ac81ff9f36001a315c5eee60cb
DRN-010,drain,DakDrain AI,Thoát nước và xử lý nước thải,Điểm ngập mẫu 03,FLOOD_POINT,Khu vực Đông Nam,12.895,109.165,Đơn vị thoát nước G,REVIEW,Nghiên cứu giải pháp tổng thể,SRC-MVP-DRN-001,DEMO,2026-08-14,POINT,drain_assets.csv,cb5734224b3fe9f2a33c98189e4f6307c5dea75ce88cf0b9e2f6378b53b39162
DRA-BMT-001,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 01,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.68195,108.04432,Đơn vị quản lý mô phỏng,ACTIVE,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,df168fa36160eda4ec4dc19cc34ef62f3deb6d051785cc66df7fe03167cafff1
DRA-BMT-002,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 02,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.68321,108.04618,Đơn vị quản lý mô phỏng,ACTIVE,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,b98431bebeb46cbb8d4770a32ccc3db6d1922cce6f9ba7381b5c15b2d36c95b5
DRA-BMT-003,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 03,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.67654,108.0487,Đơn vị quản lý mô phỏng,ACTIVE,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,60d128fa89eb3d52278755de9ae57aa86f0566e03bd4492b6fd5d788f42c83ed
DRA-BMT-004,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 04,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.67486,108.04262,Đơn vị quản lý mô phỏng,ACTIVE,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,cb60eb0d5f81ed1f28af08f00e399fba914b1f189c2d07fa1c3dd8fc9c378787
DRA-BMT-005,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 05,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.66954,108.05126,Đơn vị quản lý mô phỏng,ACTIVE,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,ce6f476602db2826ac9e4840f323cb54a978504e29c9c5fe10332bb56e63ef0f
DRA-BMT-006,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 06,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.6873,108.0531,Đơn vị quản lý mô phỏng,ACTIVE,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,30c181c2795fbfce5eeae6e4e669a714d791f73ef95a5cecf0b2726548966746
DRA-BMT-007,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 07,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.69214,108.03892,Đơn vị quản lý mô phỏng,ACTIVE,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,c8f4d220490092b97dbc55f3849084959b7bcde2673cca7f1e848dcd558a0430
DRA-BMT-008,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 08,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.66548,108.03671,Đơn vị quản lý mô phỏng,ACTIVE,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,14c163b3535134903af18bad908bbe16d13d125b8de23865de6a21047f806ccd
DRA-BMT-009,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 09,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.68021,108.05633,Đơn vị quản lý mô phỏng,RESTRICTED,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,9a6968749541d43694fa3faef8ae8b9366a036a36c5ee4983eff8f335c612f28
DRA-BMT-010,road,DakRoad AI,Kết cấu hạ tầng đường bộ,Vị trí mẫu số 10,ROAD_PUBLIC_SPACE_POSITION,Khu vực mô phỏng,12.67235,108.05844,Đơn vị quản lý mô phỏng,INACTIVE,,SRC-MVP-ROAD-001,DEMO,2026-08-14,POINT,road_assets.csv,5803a4a545343b14276860db64246ff8ca9525b7b0d2c29b0ec82f2d4c4daf18
WTR-001,water,DakWater AI,Cấp nước sạch,Nhà máy nước mẫu 01,WATER_FACILITY,Khu vực trung tâm,12.68,108.045,Đơn vị cấp nước A,ACTIVE,Mở rộng tuyến truyền tải,SRC-MVP-WTR-001,DEMO,2026-08-14,POINT,water_assets.csv,ea5d58295fb2007cb8e235cfa1bc0a1679fcf098cf561d3b3941a80d37cf646e
WTR-002,water,DakWater AI,Cấp nước sạch,Trạm cấp nước mẫu 02,WATER_FACILITY,Khu vực phía Bắc,12.86,108.27,Đơn vị cấp nước B,ACTIVE,Thay thiết bị bơm,SRC-MVP-WTR-001,DEMO,2026-08-14,POINT,water_assets.csv,27994fb5351016f79efea1d67536b35b36c0d99aca94b1bc1c257b18ea2d8839
WTR-003,water,DakWater AI,Cấp nước sạch,Nhà máy nước mẫu 03,WATER_FACILITY,Khu vực phía Đông,13.09,109.31,Đơn vị cấp nước C,ACTIVE,Mở rộng vùng phục vụ,SRC-MVP-WTR-001,DEMO,2026-08-14,POINT,water_assets.csv,e97b2609dc114b648f0cfbce5a006ca1c4334ebbdef5394571d583051be325e7
WTR-004,water,DakWater AI,Cấp nước sạch,Trạm cấp nước mẫu 04,WATER_FACILITY,Khu vực phía Nam,12.45,108.19,Đơn vị cấp nước D,REVIEW,Đánh giá nguồn nước mùa khô,SRC-MVP-WTR-001,DEMO,2026-08-14,POINT,water_assets.csv,c5a124c70db0d9f23336e1ac8d3f54dec40af4bdc3de801dcaa7d9e0ab4a214f
WTR-005,water,DakWater AI,Cấp nước sạch,Nhà máy nước mẫu 05,WATER_FACILITY,Khu vực cao nguyên,12.95,108.1,Đơn vị cấp nước E,ACTIVE,Nâng công suất xử lý,SRC-MVP-WTR-001,DEMO,2026-08-14,POINT,water_assets.csv,58a1ad9414a6b340946dea72eab3fd8949f3cc491e5c6432738e60c7ca8c3a61
WTR-006,water,DakWater AI,Cấp nước sạch,Trạm cấp nước mẫu 06,WATER_FACILITY,Khu vực ven biển,13.03,109.34,Đơn vị cấp nước F,ACTIVE,Giảm thất thoát,SRC-MVP-WTR-001,DEMO,2026-08-14,POINT,water_assets.csv,0decf0d1a09457a13de08c899da9de29714e3e652d4ff1c1c91faa8a0db15899
WTR-007,water,DakWater AI,Cấp nước sạch,Trạm cấp nước mẫu 07,WATER_FACILITY,Khu vực phía Tây,12.76,107.88,Đơn vị cấp nước G,REVIEW,Rà soát chất lượng nguồn,SRC-MVP-WTR-001,DEMO,2026-08-14,POINT,water_assets.csv,6584e0ceb77841b47a1b11ecc9a631d614441fedfd91d12b587920f8ad757145
WTR-008,water,DakWater AI,Cấp nước sạch,Nhà máy nước mẫu 08,WATER_FACILITY,Khu vực Đông Nam,12.9,109.15,Đơn vị cấp nước H,ACTIVE,Hoàn thiện mạng phân phối,SRC-MVP-WTR-001,DEMO,2026-08-14,POINT,water_assets.csv,28721d1f5852470aeb51cab6489ff36159193d39c61305376ddc96111cb5531d
