source_id,title,document_no,date,issuer,document_type,territory,status,legal_level,summary,source_filename,sha256,notes
SRC-CV9203-2026,"Chỉ đạo xây dựng, thẩm định đề án thu phí, lệ phí",9203/UBND-ĐTKT,2026-06-23,UBND tỉnh Đắk Lắk,Công văn,Toàn tỉnh,PROCESS_DIRECTION,Văn bản chỉ đạo,"Phân công UBND cấp xã xây dựng đề án phí sử dụng tạm thời lòng đường, hè phố và Sở Xây dựng thẩm định.",02_Copy_of_9203_UBND_DTKT_23_06_2026_1.pdf,3d1f1bf1032bed390be00a72a25d8fa3829ba15890ac14f3c0d33bc7c92a0060,
SRC-CV4913-2026-STC,"Tham mưu phân công xây dựng, thẩm định đề án thu phí, lệ phí",4913/STC-QLG&CS,2026-06-02,Sở Tài chính tỉnh Đắk Lắk,Công văn,Toàn tỉnh,PROCESS_GUIDANCE,Văn bản hướng dẫn,"Tổng hợp danh mục phí, tổ chức thu, cơ quan xây dựng và cơ quan thẩm định đề án.",03_Copy_of_4913.STC.QLGCS_-_02.6.2026.pdf,0eaa2fe9d31733c062bfa97dbc3f0967f4ab353af4563ce160651c9f650ed9ee,
SRC-NQ418-2026-UBND,"Văn bản chỉ đạo thực hiện xây dựng, thẩm định đề án thu phí, lệ phí",418/NQ-UBND,2026-06-22,UBND tỉnh Đắk Lắk,Nghị quyết/Chỉ đạo,Toàn tỉnh,PROCESS_DIRECTION,Văn bản chỉ đạo,Cơ sở triển khai rà soát và xây dựng đề án sau sắp xếp.,04_Copy_of_418.NQ.UBND_-_22.6.2026.pdf,bd85fbed9fbe982e545b03d13ddb138f7d2b7d3c97c4b341666d36c9482703bc,
SRC-PONGDRANG-2026,"Hồ sơ đề nghị thẩm định Đề án thu phí sử dụng tạm thời lòng đường, hè phố",1224/UBND-KT,2026-07-14,UBND xã Pơng Drang,Công văn kèm Đề án,Xã Pơng Drang,LOCAL_PROPOSAL,Hồ sơ đề xuất,"Áp dụng nhóm mức NQ24/2024 cho địa bàn huyện, thị xã; đề xuất mức trực tuyến bằng 80%; cơ chế 50% để lại, 50% nộp NSNN.",2026.07.14 - 1224_PơngDrang đề nghị thẩm định Đề án thu phí SD tạm thời lòng đường hè phố(1).zip,e4588acc834ac416604e42ba408be6b72b263bf5d590a699422b929e688b8606,Chưa có dự toán số thu cụ thể; lập khi xây dựng kế hoạch ngân sách hằng năm.
SRC-BUONDON-2026,"Tờ trình đề nghị thẩm định đề án thu phí, lệ phí trên địa bàn xã Buôn Đôn",63/TTr-UBND,2026-07-15,UBND xã Buôn Đôn,Tờ trình kèm Đề án,Xã Buôn Đôn,LOCAL_NO_COLLECTION,Hồ sơ đề xuất,"Xác định địa bàn không có lòng đường, hè phố sử dụng ngoài mục đích giao thông nên không thu phí; riêng đề xuất lệ phí đăng ký kinh doanh.","2026.07.15 - 63 TTr-BuonDon đề nghị thẩm định Đề án thu phí, lệ phí(1).zip",3b28fe9d92301636282326979b4883ac36943a4640b1a14ece641324305e225a,"Cần tách dữ liệu phí sử dụng lòng đường, hè phố khỏi lệ phí đăng ký kinh doanh."
SRC-THANHNHAT-2026,"Hồ sơ đề nghị thẩm định Đề án thu phí sử dụng tạm thời lòng đường, hè phố",1887/CV-UBND,2026-07-15,UBND phường Thành Nhất,Công văn kèm Đề án,Phường Thành Nhất,LOCAL_PROPOSAL,Hồ sơ đề xuất,Kế thừa nhóm mức NQ24/2024; đề xuất 50/50; hồ sơ có chênh lệch dự toán tổng thu giữa phần thuyết minh và phụ lục.,2026.07.15 - 1887_UB.P.Thành Nhất đề nghị SXD thẩm định Đề án thu phí SD tạm thời lòng đường HP(1).zip,b32a3f8f7a3db5e82cb421104c6dbe7c04c9addbf59f769740ab091c4091c001,"Thuyết minh nêu khoảng 1,56 tỷ đồng/năm trong khi bảng dự toán cộng 234 triệu đồng/năm."
SRC-TUYHOA-2026,"Đề án tổ chức thu phí sử dụng tạm thời lòng đường, hè phố trên địa bàn phường Tuy Hòa",07/ĐA-UBND,2026-07-16,UBND phường Tuy Hòa,Đề án,Phường Tuy Hòa,LOCAL_PROPOSAL,Hồ sơ đề xuất,"Đề xuất ma trận 5 vị trí theo mô hình NQ35/2022; yêu cầu lối đi bộ còn lại tối thiểu 1,5 m; hồ sơ có mâu thuẫn 50/50 và 20/80.","2026.07.16 - 07_DA-UBND (P. TuyHoa) Đề án thu phí SD tạm thời lòng đường, hè phố(1).pdf",cc70cc3bedc4864d771b522612f9dbda188023e0b0cefe46fdc2007e4dbc6eed,Cần thống nhất cơ chế quản lý nguồn thu trước khi thẩm định.
SRC-KRONGPAC-2026,"Tờ trình đề xuất mức thu phí sử dụng tạm thời lòng đường, hè phố",109/TTr-UBND,2026-07-17,UBND xã Krông Pắc,Tờ trình,Xã Krông Pắc,LOCAL_RECOMMENDATION,Hồ sơ kiến nghị,"Đề nghị duy trì mức NQ24/2024, chưa tăng trong giai đoạn chuyển tiếp và chờ nghị quyết thống nhất toàn tỉnh.",2026.07.17 - 109_TTr-UBND KrPac trình đề xuất mức thu phí SD tạm thời lòng đường HP(1).pdf,626d2b0935df94f242b5779261f5776d4118e35c4e62ada80a957e6cb5a1e1e2,Không đề xuất bảng mức thu mới.
SRC-PHUXUAN-2026,"Báo cáo rà soát, đề xuất phí sử dụng tạm thời lòng đường, vỉa hè",553/BC-UBND,2026-07-17,UBND xã Phú Xuân,Báo cáo,Xã Phú Xuân,LOCAL_RECOMMENDATION,Hồ sơ kiến nghị,"Đề nghị kế thừa mức NQ24/2024, không tăng trong giai đoạn chuyển tiếp và thực hiện theo nghị quyết thống nhất khi được ban hành.",2026.07.17 - 553 XaPhuXuan BC rà soát đề xuất phí SD lòng đường vỉa hè(1).zip,086dc88b34b154a4a12275e2d41bf0a998c52ebb6979701e3b5fc15dbed8b963,Không đề xuất bảng mức thu mới.
SRC-PHUYEN-2026,"Hồ sơ trình thẩm định Đề án thu phí sử dụng tạm thời lòng đường, hè phố",95/TTr-UBND,2026-07-18,UBND phường Phú Yên,Tờ trình kèm Đề án,Phường Phú Yên,LOCAL_PROPOSAL,Hồ sơ đề xuất,Đề xuất mức theo phụ lục và cơ chế để lại 100% nguồn thu cho tổ chức thu; cần đối chiếu quy định chuyển tiếp và cơ chế ngân sách.,2026.07.18 - 95 TTr-P.Phú Yên trình thẩm định Đề án thu phí SD tạm lòng đường HP(1).zip,15de1363883a10b20cb112c8992f9b7f2fa2cf96ac499b5310761275113810f9,Cơ chế 100% khác với NQ35/2022 (20/80) và NQ24/2024 (50/50).
SRC-DANGKANG-2026,"Báo cáo về việc xây dựng Đề án thu phí sử dụng tạm thời lòng đường, hè phố",415/BC-UBND,2026-07-20,UBND xã Dang Kang,Báo cáo,Xã Dang Kang,LOCAL_NOT_ELIGIBLE,Kết quả rà soát,"Xác định không đủ cơ sở và điều kiện xây dựng Đề án do địa bàn nông thôn, nhu cầu dọc tỉnh lộ thuộc hành lang an toàn và có nguy cơ cản trở giao thông.",2026.07.20 - 415.UB.DangKang BC XD De an thu phi SD tam thoi long dg HP - UB xã XĐ không đủ CS & điều kiện để XD Đề án.pdf,baeec860d95e8e7a2811d1d03008eb77caf507c1a86da8176ab77d1b861b6059,Không đề xuất tổ chức thu.
SRC-DRAYBHANG-2026,"Báo cáo về việc xây dựng Đề án thu phí sử dụng tạm thời lòng đường, lề đường",518/BC-UBND,2026-07-20,UBND xã Dray Bhăng,Báo cáo,Xã Dray Bhăng,LOCAL_RECOMMEND_CENTRALIZATION,Hồ sơ kiến nghị,Cho rằng cấp xã không đủ căn cứ định lượng và nhiều đề án riêng sẽ gây xé lẻ chính sách; đề nghị xây dựng một Đề án tổng thể áp dụng toàn tỉnh.,"2026.07.20 - 518 DrayBhang đề nghị thẩm định Đề án thu phí SD tạm thời lòng đường, lề đường.zip",242497d370715fe481ddf01e1802a4f19e615fba7d1ab6d20ef73fcb2a2e4286,Đề xuất Nhà nước cấp tỉnh dẫn dắt xây dựng chính sách thống nhất.
